CPU Utilization,Response Time,Class Name
23.182,1,'High'
19.1,1,'High'
18.364,1,'High'
18,1,'High'
19.273,1.273,'High'
24.545,1.091,'High'
19.4,1,'High'
18.273,1,'High'
18.364,1,'High'
17.9,1,'High'
22.273,1.364,'High'
17.273,1,'High'
34.9,1.4,'Low'
79.818,1.455,'Very Low'
37.2,1,'Low'
38.727,1,'Low'
75.1,1.1,'Very Low'
92.909,1.182,'Very Low'
90.9,1.3,'Very Low'
52.727,1,'Very Low'
25.3,1.1,'Low'
21.273,1.091,'High'
16.1,1,'High'
18.364,1,'High'
23.5,1,'High'
16.364,1.182,'High'
16.636,1,'High'
19.2,1.2,'High'
20.545,1,'High'
23.2,1.4,'High'
18.182,1,'High'
18.2,1,'High'
18.455,1,'High'
18.818,1.091,'High'
18,1,'High'
20.818,1.364,'High'
25.182,1.636,'Low'
24.6,1.2,'High'
26.545,1.273,'Low'
28.3,1,'Low'
29,1.273,'Low'
53.7,1,'Very Low'
62.545,1,'Very Low'
48,1.1,'Low'
35.818,1,'Low'
18.3,1,'High'
16.818,1.364,'High'
17.909,1,'High'
25.3,1,'Low'
17.909,1.273,'High'
20.545,1.545,'High'
18.1,1.2,'High'
26.364,1,'Low'
22.909,1,'High'
19.3,1.4,'High'
18.636,1,'High'
18,1,'High'
23.6,1,'High'
18.545,1,'High'
18.6,1,'High'
76.909,1.182,'Very Low'
100,1,'Very Low'
99.7,1.1,'Very Low'
32.1,1.6,'Low'
32.727,1,'Low'
26,1,'Low'
24.273,1.818,'High'
23.4,1.1,'High'
21.182,1.091,'High'
17.909,1.364,'High'
19,1.3,'High'
18.727,1,'High'
23.9,1.1,'High'
16.818,1,'High'
19.364,1.273,'High'
18.9,1,'High'
21.091,1,'High'
25.7,1,'Low'
18.273,1,'High'
19.636,1,'High'
18,1.3,'High'
18.182,1,'High'
20,1.273,'High'
18.4,1,'High'
20.636,1,'High'
21.091,1.182,'High'
26.4,1,'Low'
26.273,1.455,'Low'
26.3,1,'Low'
22.091,1.091,'High'
23.3,1.4,'High'
28.636,1.182,'Low'
20.3,1,'High'
17.909,1,'High'
22.4,1,'High'
18.182,1,'High'
18.545,1,'High'
25.8,1,'Low'
17.818,1,'High'
17.909,1.091,'High'
18.7,1,'High'
25.364,1,'Low'
17.545,1,'High'
18.1,1.2,'High'
17.818,1.091,'High'
18.727,1,'High'
18.6,1,'High'
22.182,1.091,'High'
24,1.1,'High'
19.455,1.273,'High'
20.091,1,'High'
24.6,1.7,'High'
21.909,1.091,'High'
27.364,1,'Low'
35.7,1,'Low'
25.364,1,'Low'
22.3,1,'High'
24.545,1.182,'High'
19.2,1,'High'
17.818,1,'High'
